receipt_id,finding_id,decision_id,admission_id,pdf_key,pdf_bytes,pdf_sha256,page1,page_width_pt,page_height_pt,box_pt,dpi,path,crop_bytes,crop_sha256,width_px,height_px
Q000001,EGA-I-4.2.3-P123-GAMMA-PSI-TYPE,D000161,D000165,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,122,606,756,88;572;182;49,5000,reports/qa/423g.png,274034,AD6EECAD5060C23A5F73C1FC3EF900ED98E4C5426AD522DA6F47FB28773234D5,12639,3403
Q000002,EGA-I-4.3.1-P125-KERNEL-IMAGE-IDEALS-001,D000162,D000165,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,124,595,748,86;335;429;37,5000,reports/qa/431k.png,490151,9D799B065380ACBEA0217C3E7F50B48EE5367E2A0FF70DA216785FBF7DC811C6,29792,2571
Q000003,EGA-I-4.5.5-P127-CITATION-424-425-001,D000178,D000180,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,126,595,748,112;365;390;15,5000,reports/qa/455c.png,180658,D9CADDC12DFF68562DA64F2E8FAAE6408B406AB052DACF452F4BB7775E07EB13,27085,1042
Q000004,EGA-I-4.5.5-P127-UNINTRODUCED-PRODUCT-POINTS-001,D000179,D000180,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,126,595,748,82;420;420;44,5000,reports/qa/455z.png,530790,F7942DE4BA93153FE778DE68020331063ACE2CC6EB6F0CB691C36B3DBB6C0E3E,29168,3057
Q000005,EGA-I-5.1.4-P128-CITATION-217-218-001,D000188,D000189,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,127,603,754,90;433;417;32,5000,reports/qa/514r.png,377678,C00A8CC1A6126220003816FAE76678E00C134CA83D6C8B2F8DF8787976205277,28959,2223
Q000006,EGA-I-5.1.9.2-P131-RESTRICTION-Y-V-001,D000198,D000199,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,130,603,755,86;188;425;30,5000,reports/qa/519y.png,348419,63CA3C2A27119D40DFEB3213A6906BD8072F2FEF8E4E0214576ADEB2DBCD7A3B,29515,2084
Q000007,EGA-I-5.3.5-P132-MISSING-G-001,D000216,D000221,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,131,595,748,86;524;426;44,5000,reports/qa/535g.png,562678,11FFCCB51BD60D004F49DC4B5FE0F207429DD7869F5F8C562E41D8075DE2C8AB,29584,3057
Q000008,EGA-I-5.3.8-P133-SINGLETON-AT-MOST-ONE-001,D000219,D000221,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,132,595,748,86;345;420;46,5000,reports/qa/538e.png,545530,0C21D5709BDF83B371C89957C53F3E314F2F6AB4B2E038B5D8C64C094A9C39A9,29167,3195
Q000009,EGA-I-5.3.9-P133-PROOF-LOCAL-CLOSEDNESS-001,D000226,D000233,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,132,595,748,86;416;418;87,5000,reports/qa/539p.png,977235,2E095BFDF8BAF99387F904FB3654037A47F257824FD596651FB502D873A1637F,29028,6043
Q000010,EGA-I-5.3.13-P134-CITATION-424-425-001,D000231,D000233,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,133,595,748,84;294;425;59,5000,reports/qa/5313c.png,564520,9CBD0373A0C9BB44C1CA4C2F11ABAAC878E9100FFBD075DA5432AF75DC6B0BCF,29515,4098
Q000011,EGA-I-5.5.5-P138-CITATION-554-555-001,D000272,D000276,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,137,595,748,88;174;425;58,5000,reports/qa/555c.png,161991,3DA94AE7908A801B917AC159FA86B664BA755C610D820703C705AD6EA55618EE,29514,4029
Q000012,EGA-I-5.5.9-P138-CITATION-554-555-001,D000273,D000276,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,137,595,748,88;526;425;54,5000,reports/qa/559c.png,155127,80C896ECE57372BF36688AF5326BB6873E716611BADCBACB0A1EA90225C2B3D1,29514,3751
Q000013,EGA-I-5.5.11-P139-DOUBLED-ORIGIN-IDEAL-001,D000274,D000276,NUMDAM:EGA_I_PMIHES_1960_4.pdf,31680717,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,138,601,752,88;268;430;78,5000,reports/qa/5511f.png,225334,2F9BE20CE42ECE68BB4F3669F8B6DB5B3B549522E7BB5EF73B96C206D3F654E7,29862,5417
