unit_id,unit_type,unit_title,rank,score,overlap,tag,full_label,file,line,kind,section_title,snippet,query_sha256,status
fga.149.s1.proposition.2,proposition,Proposition 2,1,16.949468,if;in;of;printed,05BI,fdl-section-copying-in-quantity,fdl.tex,166,section,COPYING IN QUANTITY,"COPYING IN QUANTITY If you publish printed copies (or copies in media that commonly have printed covers) of the Document, numbering more than 100, and the Document's license notice r",FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.149.s1.proposition.2,proposition,Proposition 2,2,16.918754,an;in;is;isomorphic;of;presence;to,0H30,derived-remark-MS5,derived.tex,1244,remark,Localization of triangulated categories,"egin remark In the presence of MS1 and MS6, condition MS5 is equivalent to asking s[n] S for all s S and n Z . For example, suppose MS5 holds, we have s S , and we want to show s[-1] S . This isn't immediate because s[-1][1] is not equal to s , only isomorphic to s as an arrow of",FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.149.s1.proposition.2,proposition,Proposition 2,3,16.716812,cokernel;if;is;isomorphic;of;to,0278,exercises-definition-finite-presentation,exercises.tex,244,definition,Colimits,egin definition A module M over R is said to be of finite presentation over R if it is isomorphic to the cokernel of a map of finite free modules R n o R m .,FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.149.s1.proposition.2,proposition,Proposition 2,4,15.092774,an;cokernel;if;is;isomorphic;of;to,03OH,etale-cohomology-definition-ringed-site,etale-cohomology.tex,1386,definition,Quasi-coherent sheaves,"egin definition Let C be a ringed site , i.e., a site endowed with a sheaf of rings O . A sheaf of O -modules F on C is called quasi-coherent if for all U ( C ) there exists a covering \ U i o U\ i I of C such that the restriction F | C /U i is isomorphic to the cokernel of an O ",FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.149.s1.proposition.2,proposition,Proposition 2,5,14.709460,an;cokernel;if;is;isomorphic;of;to,01BE,modules-definition-quasi-coherent,modules.tex,1021,definition,Quasi-coherent modules,"egin definition Let (X, O X) be a ringed space. Let F be a sheaf of O X -modules. We say that F is a quasi-coherent sheaf of O X -modules if for every point x X there exists an open neighbourhood x U X such that F | U is isomorphic to the cokernel of a map igoplus j J O U igoplus",FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.149.s1.proposition.2,proposition,Proposition 2,6,14.564087,an;cokernel;if;is;isomorphic;of;to,01BN,modules-definition-finite-presentation,modules.tex,1378,definition,Modules of finite presentation,"egin definition Let (X, O X) be a ringed space. Let F be a sheaf of O X -modules. We say that F is of finite presentation if for every point x X there exists an open neighbourhood x U X , and n, m N such that F | U is isomorphic to the cokernel of a map igoplus j = 1, , m O U igo",FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.149.s1.proposition.2,proposition,Proposition 2,7,14.005342,an;if;in;is;of;presence,0EBD,coherent-lemma-affine-in-presence-ample,coherent.tex,4849,lemma,Ample invertible sheaves and cohomology,"egin lemma Let X be a scheme. Let L be an ample invertible O X -module. Let n 0 be an integer. If H p(X, L -n ) = 0 for n n 0 and p > 0 , then X is affine.",FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.149.s1.proposition.2,proposition,Proposition 2,8,13.860222,an;cokernel;if;in;is;of,0E43,homology-lemma-kernel-mono,homology.tex,275,lemma,Preadditive and additive categories,"egin lemma Let C be a preadditive category. Let f : x o y be a morphism in C . egin enumerate If a kernel of f exists, then this kernel is a monomorphism. If a cokernel of f exists, then this cokernel is an epimorphism. If a kernel and coimage of f exist, then the coimage is an e",FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.149.s1.proposition.2,proposition,Proposition 2,9,13.794325,an;in;is;of;preceding;to,046B,bootstrap-section-introduction,bootstrap.tex,20,section,Introduction,Introduction In this chapter we use the material from the preceding sections to give criteria under which a presheaf of sets on the category of schemes is an algebraic space,FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.149.s1.proposition.2,proposition,Proposition 2,10,13.632969,cokernel;if;in;is;of;to,0EIU,algebraization-lemma-map-kernel-cokernel-on-closed,algebraization.tex,5458,lemma,"Algebraization of coherent formal modules, II","egin lemma In Situation ef situation-algebraize . Let ( F n) o ( F ' n) be a morphism of extit Coh (U, I O U) whose kernel and cokernel are annihilated by a power of I . Then egin enumerate ( F n) extends to X if and only if ( F ' n) extends to X , and ( F n) is the completion of",FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.149.s1.proposition.2,proposition,Proposition 2,11,13.621787,an;in;is;of;presence;to,03B9,homology-remark-faithfulness-needed,homology.tex,7353,remark,Injectives and adjoint functors,"egin remark Let A , B , u : A o B and v : B o A be as In Lemma ef lemma-adjoint-enough-injectives . In the presence of conditions (1) and (2) condition (4) is equivalent to v being faithful. Moreover, condition (4) is needed. An example is to consider the case where the functors ",FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.149.s1.proposition.2,proposition,Proposition 2,12,13.394258,cokernel;is;isomorphic;of;to,05QU,derived-lemma-when-split,derived.tex,730,lemma,Elementary results on triangulated categories,"egin lemma Let D be a pre-triangulated category. Let f : X o Y be a morphism of D . The following are equivalent egin enumerate f has a kernel, f has a cokernel, f is the isomorphic to a composition K Z o Z o Z Q of a projection and coprojection for some objects K, Z, Q of D .",FB5C322DAAE4D8ED8EB0EB335ABDF8BD769C31A559B085B21EC91A898E6E71DC,lexical_candidate_only
fga.190.sa,section,Preliminaries on categories,1,40.109690,categories;category;data;definition;descent;morphisms;of,026B,stacks-definition-descent-data,stacks.tex,281,definition,Descent data in fibred categories,"egin definition Let C be a category. Let p : S o C be a fibred category. Make a choice of pullbacks as in Categories, Definition ef categories-definition-pullback-functor-fibred-category . Let U = \ f i : U i o U\ i I be a family of morphisms of C . Assume all the fibre products ",40C1E5589B19C7447438C8F224BEC466AC9CF585FDFF9DF64E83955EDCF05CF2,lexical_candidate_only
fga.190.sa,section,Preliminaries on categories,2,39.737738,categories;category;data;definition;descent;of,02ZD,stacks-lemma-pullback,stacks.tex,366,lemma,Descent data in fibred categories,"egin lemma (Pullback of descent data.) Let C be a category. Let p : S o C be a fibred category. Make a choice pullbacks as in Categories, Definition ef categories-definition-pullback-functor-fibred-category . Let U = \ f i : U i o U\ i I , and V = \ V j o V\ j J be a families of ",40C1E5589B19C7447438C8F224BEC466AC9CF585FDFF9DF64E83955EDCF05CF2,lexical_candidate_only
fga.190.sa,section,Preliminaries on categories,3,38.735017,categories;category;data;descent;of,02ZC,stacks-section-descent-data,stacks.tex,261,section,Descent data in fibred categories,Descent data in fibred categories In this section we define the notion of a descent datum in the abstract setting of a fibred category. Before we do so we point out that this is completely analo,40C1E5589B19C7447438C8F224BEC466AC9CF585FDFF9DF64E83955EDCF05CF2,lexical_candidate_only
fga.190.sa,section,Preliminaries on categories,4,38.159682,categories;category;consists;data;definition;morphisms;of,0014,categories-definition-category,categories.tex,38,definition,Definitions,"egin definition A category C consists of the following data: egin enumerate A set of objects ( C ) . For each pair x, y ( C ) a set of morphisms C (x, y) . For each triple x, y, z ( C ) a composition map C (y, z) imes C (x, y) o C (x, z) , denoted ( , ) irc . These data are to sa",40C1E5589B19C7447438C8F224BEC466AC9CF585FDFF9DF64E83955EDCF05CF2,lexical_candidate_only
